80 Triangles
3 0 13 12 
3 13 5 14 
3 14 1 12 
3 13 14 12 
3 1 15 12 
3 15 2 16 
3 16 0 12 
3 15 16 12 
3 2 17 16 
3 17 3 18 
3 18 0 16 
3 17 18 16 
3 3 19 18 
3 19 4 20 
3 20 0 18 
3 19 20 18 
3 4 21 20 
3 21 5 13 
3 13 0 20 
3 21 13 20 
3 5 22 14 
3 22 6 23 
3 23 1 14 
3 22 23 14 
3 6 24 23 
3 24 7 25 
3 25 1 23 
3 24 25 23 
3 7 26 25 
3 26 2 15 
3 15 1 25 
3 26 15 25 
3 7 27 26 
3 27 8 28 
3 28 2 26 
3 27 28 26 
3 8 29 28 
3 29 3 17 
3 17 2 28 
3 29 17 28 
3 8 30 29 
3 30 9 31 
3 31 3 29 
3 30 31 29 
3 9 32 31 
3 32 4 19 
3 19 3 31 
3 32 19 31 
3 9 33 32 
3 33 10 34 
3 34 4 32 
3 33 34 32 
3 10 35 34 
3 35 5 21 
3 21 4 34 
3 35 21 34 
3 10 36 35 
3 36 6 22 
3 22 5 35 
3 36 22 35 
3 11 38 37 
3 38 7 24 
3 24 6 37 
3 38 24 37 
3 10 39 36 
3 39 11 37 
3 37 6 36 
3 39 37 36 
3 11 40 38 
3 40 8 27 
3 27 7 38 
3 40 27 38 
3 11 41 40 
3 41 9 30 
3 30 8 40 
3 41 30 40 
3 10 33 39 
3 33 9 41 
3 41 11 39 
3 33 41 39 
